ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
1134908,0,1,Loyola Chicago,Southern Illinois,2021-03-05,2021
1104776,0,3,UC Santa Barbara,Cal Poly,2021-03-05,2021
1135078,0,4,St. Bonaventure,Duquesne,2021-03-05,2021
1134293,1,1,Appalachian St.,Little Rock,2021-03-05,2021
1132523,2,1,Georgia Tech,Wake Forest,2021-03-05,2021
1135004,2,1,Liberty,Stetson,2021-03-05,2021
1135204,2,3,Eastern Washington,Idaho St.,2021-03-05,2021
1135134,4,2,Morehead St.,Eastern Kentucky,2021-03-05,2021
1132702,0,0,Illinois,Ohio St.,2021-03-06,2021
1132700,0,0,Oklahoma St.,West Virginia,2021-03-06,2021
1132705,0,1,Creighton,Butler,2021-03-06,2021
1132711,0,2,USC,UCLA,2021-03-06,2021
1132936,0,3,Arkansas,Texas A&M,2021-03-06,2021
1135815,0,3,UC Santa Barbara,Cal Poly,2021-03-06,2021
1132710,0,4,Alabama,Georgia,2021-03-06,2021
1124213,0,4,Connecticut,Georgetown,2021-03-06,2021
1135081,0,4,LSU,Missouri,2021-03-06,2021
1135474,0,4,Loyola Chicago,Indiana St.,2021-03-06,2021
1132703,0,4,Purdue,Indiana,2021-03-06,2021
1135341,0,4,St. Bonaventure,Saint Louis,2021-03-06,2021
1132630,0,4,Utah St.,Fresno St.,2021-03-06,2021
1135581,1,2,Appalachian St.,Texas St.,2021-03-06,2021
1135542,2,2,Drake,Missouri St.,2021-03-06,2021
1113795,2,4,Virginia,Louisville,2021-03-06,2021
1112832,4,1,Abilene Christian,Incarnate Word,2021-03-06,2021
1135473,4,1,UNC Greensboro,The Citadel,2021-03-06,2021
1135532,4,2,Morehead St.,Belmont,2021-03-06,2021
1132714,4,2,North Carolina,Duke,2021-03-06,2021
1106856,4,3,Texas Southern,Southern,2021-03-06,2021
1134174,4,3,Wichita St.,South Florida,2021-03-06,2021
1135251,4,4,Clemson,Pittsburgh,2021-03-06,2021
1135776,4,4,Grand Canyon,Utah Valley,2021-03-06,2021
1119830,4,4,Rutgers,Minnesota,2021-03-06,2021
1134234,0,0,Baylor,Texas Tech,2021-03-07,2021
1119538,0,0,Iowa,Wisconsin,2021-03-07,2021
1136006,0,2,Loyola Chicago,Drake,2021-03-07,2021
1128389,0,4,Houston,Memphis,2021-03-07,2021
1133129,0,4,Tennessee,Florida,2021-03-07,2021
1133321,0,4,Texas,TCU,2021-03-07,2021
1136113,1,4,Appalachian St.,Coastal Carolina,2021-03-07,2021
1134679,2,1,Drexel,College of Charleston,2021-03-07,2021
1135551,2,1,Liberty,North Alabama,2021-03-07,2021
1135478,2,1,Oral Roberts,North Dakota,2021-03-07,2021
1133128,2,4,Oregon,Oregon St.,2021-03-07,2021
1133127,4,0,Michigan St.,Michigan,2021-03-07,2021
1135893,4,4,UNC Greensboro,East Tennessee St.,2021-03-07,2021
1136953,0,2,BYU,Pepperdine,2021-03-08,2021
1136070,0,4,Gonzaga,Saint Mary's,2021-03-08,2021
1136705,1,4,Appalachian St.,Georgia St.,2021-03-08,2021
1136707,2,2,Drexel,Northeastern,2021-03-08,2021
