ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
333376,0,0,Dayton,Saint Louis,2014-03-05,2014
553213,0,0,George Washington,Saint Joseph's,2014-03-05,2014
333352,0,0,Louisville,SMU,2014-03-05,2014
333371,0,0,San Diego St.,UNLV,2014-03-05,2014
333349,0,0,Utah,California,2014-03-05,2014
333353,0,2,Arizona,Oregon St.,2014-03-05,2014
333365,0,2,Massachusetts,Duquesne,2014-03-05,2014
333347,0,2,Oklahoma,West Virginia,2014-03-05,2014
333364,0,3,Connecticut,Rutgers,2014-03-05,2014
333372,0,3,New Mexico,Air Force,2014-03-05,2014
333379,0,3,Texas,TCU,2014-03-05,2014
333356,0,4,Arkansas,Mississippi,2014-03-05,2014
333346,0,4,Kansas,Texas Tech,2014-03-05,2014
333351,0,4,Missouri,Texas A&M,2014-03-05,2014
333357,0,4,Tennessee,Auburn,2014-03-05,2014
333348,0,4,Wisconsin,Purdue,2014-03-05,2014
333362,1,1,Charleston Southern,Campbell,2014-03-05,2014
333370,1,1,Winthrop,Liberty,2014-03-05,2014
333361,1,2,Army,Bucknell,2014-03-05,2014
333360,1,2,St. Francis PA,Bryant,2014-03-05,2014
553214,1,4,Mount St. Mary's,St. Francis NY,2014-03-05,2014
333359,2,1,Boston University,Lafayette,2014-03-05,2014
333373,2,1,Radford,Presbyterian,2014-03-05,2014
333380,2,2,Utah St.,Wyoming,2014-03-05,2014
333375,2,3,Robert Morris,Fairleigh Dickinson,2014-03-05,2014
333366,2,3,Southeast Missouri St.,Eastern Illinois,2014-03-05,2014
333377,3,1,Tennessee Tech,SIU Edwardsville,2014-03-05,2014
333365,3,2,UMass Lowell,Duquesne,2014-03-05,2014
333378,4,0,Colorado,Stanford,2014-03-05,2014
333354,4,0,Wake Forest,Duke,2014-03-05,2014
333367,4,1,Gardner Webb,Longwood,2014-03-05,2014
333381,4,1,Wagner,Central Connecticut,2014-03-05,2014
333355,4,2,American,Colgate,2014-03-05,2014
333358,4,2,Nevada,Boise St.,2014-03-05,2014
333363,4,3,Colorado St.,San Jose St.,2014-03-05,2014
333374,4,3,Rhode Island,Fordham,2014-03-05,2014
333368,4,4,Georgia,Mississippi St.,2014-03-05,2014
333369,4,4,Holy Cross,Lehigh,2014-03-05,2014
333350,4,4,Nebraska,Indiana,2014-03-05,2014
333395,0,0,Cincinnati,Memphis,2014-03-06,2014
333382,0,0,Michigan St.,Iowa,2014-03-06,2014
333383,0,0,Villanova,Xavier,2014-03-06,2014
333416,0,1,New Mexico St.,Grand Canyon,2014-03-06,2014
333439,0,2,UCLA,Washington,2014-03-06,2014
333425,0,3,Louisiana Tech,Rice,2014-03-06,2014
333390,0,3,UC Irvine,Cal St. Fullerton,2014-03-06,2014
333438,0,4,LSU,Vanderbilt,2014-03-06,2014
333412,0,4,Mercer,USC Upstate,2014-03-06,2014
333417,0,4,North Carolina Central,Norfolk St.,2014-03-06,2014
333433,0,4,Stephen F. Austin,Oral Roberts,2014-03-06,2014
333393,0,4,UC Santa Barbara,Hawaii,2014-03-06,2014
333426,0,4,VCU,Richmond,2014-03-06,2014
333399,1,1,Eastern Washington,Idaho St.,2014-03-06,2014
333419,1,1,Northern Arizona,Montana St.,2014-03-06,2014
333424,1,2,Portland St.,Weber St.,2014-03-06,2014
333394,1,3,Idaho,Chicago St.,2014-03-06,2014
553215,1,3,Loyola Chicago,Bradley,2014-03-06,2014
333421,1,3,Northwestern St.,Central Arkansas,2014-03-06,2014
333414,1,3,Rider,Monmouth,2014-03-06,2014
333436,1,3,UT Arlington,Troy,2014-03-06,2014
333391,1,4,Cal St. Northridge,Long Beach St.,2014-03-06,2014
333427,2,1,Montana,Sacramento St.,2014-03-06,2014
333398,2,2,Eastern Kentucky,Southeast Missouri St.,2014-03-06,2014
333388,2,3,Arkansas St.,Louisiana Monroe,2014-03-06,2014
333432,3,1,Southern Utah,North Dakota,2014-03-06,2014
333392,3,1,UC Riverside,UC Davis,2014-03-06,2014
333384,3,3,Alabama A&M,Jackson St.,2014-03-06,2014
333386,3,3,Alabama St.,Grambling St.,2014-03-06,2014
333400,3,3,Bethune Cookman,Florida A&M,2014-03-06,2014
333407,3,3,Lamar,New Orleans,2014-03-06,2014
333411,3,3,Maryland Eastern Shore,Delaware St.,2014-03-06,2014
333405,3,3,Morgan St.,Howard,2014-03-06,2014
333409,3,3,Niagara,Marist,2014-03-06,2014
333404,3,3,Nicholls St.,Houston Baptist,2014-03-06,2014
553216,3,3,Saint Peter's,Fairfield,2014-03-06,2014
333429,3,3,Savannah St.,South Carolina St.,2014-03-06,2014
333430,3,3,South Alabama,Texas St.,2014-03-06,2014
333413,3,3,UMKC,Seattle,2014-03-06,2014
333408,3,4,Loyola Marymount,Portland,2014-03-06,2014
333422,4,1,Old Dominion,East Carolina,2014-03-06,2014
333428,4,1,Sam Houston St.,Southeastern Louisiana,2014-03-06,2014
333397,4,2,Evansville,Drake,2014-03-06,2014
333396,4,3,Butler,DePaul,2014-03-06,2014
333410,4,3,Charlotte,Marshall,2014-03-06,2014
333401,4,3,FIU,Florida Atlantic,2014-03-06,2014
333403,4,3,Hampton,North Carolina A&T,2014-03-06,2014
333415,4,3,Morehead St.,Tennessee Tech,2014-03-06,2014
333431,4,3,Southern,Prairie View A&M,2014-03-06,2014
333437,4,3,Southern Miss,Tulane,2014-03-06,2014
333434,4,3,Texas A&M Corpus Chris,McNeese St.,2014-03-06,2014
333387,4,3,Texas Southern,Alcorn St.,2014-03-06,2014
333440,4,3,USC,Washington St.,2014-03-06,2014
333435,4,3,UTEP,UTSA,2014-03-06,2014
333402,4,4,Florida Gulf Coast,East Tennessee St.,2014-03-06,2014
333406,4,4,George Mason,La Salle,2014-03-06,2014
333385,4,4,Middle Tennessee,UAB,2014-03-06,2014
333420,4,4,Penn St.,Northwestern,2014-03-06,2014
333423,4,4,Santa Clara,Pacific,2014-03-06,2014
333418,4,4,Tulsa,North Texas,2014-03-06,2014
333441,4,4,Western Kentucky,Louisiana Lafayette,2014-03-06,2014
333465,0,4,Harvard,Yale,2014-03-07,2014
333453,0,4,Wichita St.,Evansville,2014-03-07,2014
333454,1,1,Georgia Southern,Furman,2014-03-07,2014
333456,1,1,Winthrop,High Point,2014-03-07,2014
333461,1,2,UNC Asheville,Radford,2014-03-07,2014
333443,1,3,Samford,Appalachian St.,2014-03-07,2014
333448,1,3,The Citadel,UNC Greensboro,2014-03-07,2014
333451,2,1,Princeton,Cornell,2014-03-07,2014
