ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
1176721,0,0,Kansas,Texas,2022-03-05,2022
1173560,0,0,LSU,Alabama,2022-03-05,2022
1184904,0,0,Murray St.,Morehead St.,2022-03-05,2022
1175452,0,0,North Carolina,Duke,2022-03-05,2022
1176543,0,0,Purdue,Indiana,2022-03-05,2022
1184879,0,0,San Francisco,BYU,2022-03-05,2022
1175161,0,0,Seton Hall,Creighton,2022-03-05,2022
1173825,0,0,Tennessee,Arkansas,2022-03-05,2022
1178637,0,0,UCLA,USC,2022-03-05,2022
1175904,0,0,Wyoming,Fresno St.,2022-03-05,2022
1184884,0,2,Chattanooga,The Citadel,2022-03-05,2022
1184898,0,2,Loyola Chicago,Northern Iowa,2022-03-05,2022
1177653,0,2,San Diego St.,Nevada,2022-03-05,2022
1178836,0,2,UAB,Louisiana Tech,2022-03-05,2022
1173769,0,4,Arizona,California,2022-03-05,2022
1173953,0,4,Auburn,South Carolina,2022-03-05,2022
1174065,0,4,Baylor,Iowa St.,2022-03-05,2022
1175094,0,4,Connecticut,DePaul,2022-03-05,2022
1175716,0,4,Kentucky,Florida,2022-03-05,2022
1177694,0,4,New Mexico St.,Utah Valley,2022-03-05,2022
1174413,0,4,Villanova,Butler,2022-03-05,2022
1174200,2,0,Colorado St.,Boise St.,2022-03-05,2022
1184895,2,1,Longwood,USC Upstate,2022-03-05,2022
1184803,2,1,South Dakota St.,Nebraska Omaha,2022-03-05,2022
1177119,2,2,Marquette,St. John's,2022-03-05,2022
1177305,2,2,Miami FL,Syracuse,2022-03-05,2022
1177544,2,2,Montana St.,Northern Colorado,2022-03-05,2022
1177994,2,4,Notre Dame,Pittsburgh,2022-03-05,2022
1176514,4,1,Texas A&M Corpus Chris,Incarnate Word,2022-03-05,2022
1174308,4,1,Yale,Brown,2022-03-05,2022
1178230,4,3,Texas Southern,Prairie View A&M,2022-03-05,2022
1184834,4,4,Bryant,Mount St. Mary's,2022-03-05,2022
1174498,4,4,Cal St. Fullerton,UC Davis,2022-03-05,2022
1184862,4,4,Georgia St.,Arkansas St.,2022-03-05,2022
1175668,4,4,Saint Peter's,Fairfield,2022-03-05,2022
1176457,0,0,Illinois,Iowa,2022-03-06,2022
1184889,0,0,Loyola Chicago,Drake,2022-03-06,2022
1176320,0,0,Memphis,Houston,2022-03-06,2022
1184885,0,2,Chattanooga,Wofford,2022-03-06,2022
1177155,0,2,Michigan St.,Maryland,2022-03-06,2022
1177340,2,0,Michigan,Ohio St.,2022-03-06,2022
1184838,2,1,Colgate,Lehigh,2022-03-06,2022
1184914,2,1,Vermont,NJIT,2022-03-06,2022
1184805,2,2,Delaware,Drexel,2022-03-06,2022
1184896,2,2,Longwood,Winthrop,2022-03-06,2022
1178167,2,2,Rutgers,Penn St.,2022-03-06,2022
1184878,4,2,Georgia St.,Appalachian St.,2022-03-06,2022
1184894,0,0,Gonzaga,San Francisco,2022-03-07,2022
1184999,0,2,Chattanooga,Furman,2022-03-07,2022
1184910,0,2,Saint Mary's,Santa Clara,2022-03-07,2022
1185019,2,0,Delaware,Towson,2022-03-07,2022
1185020,2,2,South Dakota St.,South Dakota,2022-03-07,2022
1185001,2,4,Wright St.,Cleveland St.,2022-03-07,2022
1185007,4,4,Georgia St.,Louisiana Lafayette,2022-03-07,2022
1185034,0,0,Gonzaga,Saint Mary's,2022-03-08,2022
1185040,2,2,South Dakota St.,North Dakota St.,2022-03-08,2022
1185039,2,4,Delaware,UNC Wilmington,2022-03-08,2022
1185038,2,4,Wright St.,Northern Kentucky,2022-03-08,2022
1184882,4,4,Bryant,Wagner,2022-03-08,2022
1184985,0,1,Seton Hall,Georgetown,2022-03-09,2022
1185042,0,2,Virginia Tech,Clemson,2022-03-09,2022
1185024,2,1,Vermont,Binghamton,2022-03-09,2022
1185002,2,4,Colgate,Navy,2022-03-09,2022
1184919,4,3,Norfolk St.,Delaware St.,2022-03-09,2022
1184977,4,3,Texas Southern,Jackson St.,2022-03-09,2022
1185052,4,4,Saint Peter's,Fairfield,2022-03-09,2022
1185085,0,0,Connecticut,Seton Hall,2022-03-10,2022
1185140,0,0,North Carolina,Virginia,2022-03-10,2022
1185143,0,0,San Diego St.,Fresno St.,2022-03-10,2022
1184967,0,0,TCU,Texas,2022-03-10,2022
1185101,0,0,UCLA,Washington St.,2022-03-10,2022
1185083,0,2,Boise St.,Nevada,2022-03-10,2022
1184940,0,2,Creighton,Marquette,2022-03-10,2022
1185062,0,2,Duke,Syracuse,2022-03-10,2022
1185043,0,2,Indiana,Michigan,2022-03-10,2022
1185125,0,2,Iowa,Northwestern,2022-03-10,2022
1185029,0,2,Michigan St.,Maryland,2022-03-10,2022
1185141,0,2,UAB,Florida Atlantic,2022-03-10,2022
1185145,0,2,Villanova,St. John's,2022-03-10,2022
1185130,0,2,Virginia Tech,Notre Dame,2022-03-10,2022
1185058,0,4,Arizona,Stanford,2022-03-10,2022
1185090,0,4,Kansas,West Virginia,2022-03-10,2022
1185114,0,4,LSU,Missouri,2022-03-10,2022
1185132,0,4,Providence,Butler,2022-03-10,2022
1184994,0,4,Texas Tech,Iowa St.,2022-03-10,2022
1185100,0,4,USC,Washington,2022-03-10,2022
1185144,0,4,Wyoming,UNLV,2022-03-10,2022
1185069,2,1,Montana St.,Sacramento St.,2022-03-10,2022
1184923,2,2,Akron,Buffalo,2022-03-10,2022
1185084,2,2,Colorado St.,Utah St.,2022-03-10,2022
1185133,2,4,Miami FL,Boston College,2022-03-10,2022
1185079,2,4,Richmond,Rhode Island,2022-03-10,2022
1185134,4,1,Texas A&M Corpus Chris,Houston Christian,2022-03-10,2022
1185057,4,4,Cal St. Fullerton,UC Davis,2022-03-10,2022
1185149,0,0,Arizona,Colorado,2022-03-11,2022
1185150,0,0,Arkansas,LSU,2022-03-11,2022
1185152,0,0,Boise St.,Wyoming,2022-03-11,2022
1185196,0,0,Creighton,Providence,2022-03-11,2022
1185164,0,0,Indiana,Illinois,2022-03-11,2022
1185166,0,0,Kansas,TCU,2022-03-11,2022
1185197,0,0,Michigan St.,Wisconsin,2022-03-11,2022
1185202,0,0,New Mexico St.,Grand Canyon,2022-03-11,2022
1185173,0,0,UAB,Middle Tennessee,2022-03-11,2022
1185208,0,0,UCLA,USC,2022-03-11,2022
1185203,0,0,Villanova,Connecticut,2022-03-11,2022
1185180,0,0,Virginia Tech,North Carolina,2022-03-11,2022
1185161,0,2,Duke,Miami FL,2022-03-11,2022
1185191,0,2,Iowa,Rutgers,2022-03-11,2022
1185204,0,2,Purdue,Penn St.,2022-03-11,2022
1185216,0,2,San Diego St.,Colorado St.,2022-03-11,2022
1185206,0,2,Texas Tech,Oklahoma,2022-03-11,2022
1185190,0,4,Houston,Cincinnati,2022-03-11,2022
1185168,0,4,Kentucky,Vanderbilt,2022-03-11,2022
1185171,0,4,Memphis,UCF,2022-03-11,2022
1185194,0,4,Tennessee,Mississippi St.,2022-03-11,2022
1185193,2,0,Akron,Toledo,2022-03-11,2022
1185201,2,0,Richmond,VCU,2022-03-11,2022
1185176,2,2,Montana St.,Weber St.,2022-03-11,2022
1185159,2,4,Davidson,Fordham,2022-03-11,2022
1185199,4,1,Saint Peter's,Quinnipiac,2022-03-11,2022
1185179,4,2,Texas A&M Corpus Chris,Nicholls St.,2022-03-11,2022
1185195,4,3,Norfolk St.,Morgan St.,2022-03-11,2022
1185192,4,3,Texas Southern,Grambling St.,2022-03-11,2022
1185153,4,4,Cal St. Fullerton,Hawaii,2022-03-11,2022
1185212,0,0,Arizona,UCLA,2022-03-12,2022
1185214,0,0,Boise St.,San Diego St.,2022-03-12,2022
1185222,0,0,Iowa,Indiana,2022-03-12,2022
1185223,0,0,Kansas,Texas Tech,2022-03-12,2022
1185236,0,0,Memphis,SMU,2022-03-12,2022
1185234,0,0,Purdue,Michigan St.,2022-03-12,2022
1185233,0,0,Tennessee,Kentucky,2022-03-12,2022
1185237,0,0,Villanova,Creighton,2022-03-12,2022
1185220,0,0,Virginia Tech,Duke,2022-03-12,2022
1185221,0,2,Houston,Tulane,2022-03-12,2022
1185239,0,2,UAB,Louisiana Tech,2022-03-12,2022
1185240,0,4,New Mexico St.,Abilene Christian,2022-03-12,2022
1185231,2,0,Davidson,Saint Louis,2022-03-12,2022
1185219,2,0,Richmond,Dayton,2022-03-12,2022
1185229,2,2,Montana St.,Northern Colorado,2022-03-12,2022
1185109,2,2,Vermont,UMBC,2022-03-12,2022
