ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
1068071,0,0,Auburn,Alabama,2019-03-05,2019
1072778,0,0,Florida St.,Virginia Tech,2019-03-05,2019
1071085,0,0,Michigan St.,Nebraska,2019-03-05,2019
1071129,0,0,Minnesota,Purdue,2019-03-05,2019
1070559,0,0,Oklahoma,Kansas,2019-03-05,2019
1071146,0,0,Tennessee,Mississippi St.,2019-03-05,2019
1072088,0,1,Toledo,Western Michigan,2019-03-05,2019
1070624,0,2,Kentucky,Mississippi,2019-03-05,2019
1085450,0,2,Utah St.,Colorado St.,2019-03-05,2019
1069950,0,2,VCU,George Mason,2019-03-05,2019
1069532,0,3,Duke,Wake Forest,2019-03-05,2019
1068781,0,4,Buffalo,Ohio,2019-03-05,2019
1068600,0,4,North Carolina,Boston College,2019-03-05,2019
1068145,1,1,Albany,Binghamton,2019-03-05,2019
1077453,1,1,Boston University,Loyola MD,2019-03-05,2019
1077485,1,1,Holy Cross,Lafayette,2019-03-05,2019
1077461,2,1,Charleston Southern,USC Upstate,2019-03-05,2019
1077479,2,1,Hampton,Longwood,2019-03-05,2019
1077487,2,1,Wright St.,IUPUI,2019-03-05,2019
1083501,2,2,Butler,Xavier,2019-03-05,2019
1077478,2,2,Green Bay,Illinois Chicago,2019-03-05,2019
1068964,2,2,Northern Illinois,Central Michigan,2019-03-05,2019
1085436,2,3,Abilene Christian,Stephen F. Austin,2019-03-05,2019
1077505,2,3,Presbyterian,UNC Asheville,2019-03-05,2019
1070602,2,4,Kent St.,Miami OH,2019-03-05,2019
1071036,2,4,Miami FL,Pittsburgh,2019-03-05,2019
1070859,3,1,New Hampshire,Maine,2019-03-05,2019
1068045,4,2,Akron,Bowling Green,2019-03-05,2019
1071766,4,2,Rhode Island,Saint Joseph's,2019-03-05,2019
1070169,4,2,Stony Brook,Hartford,2019-03-05,2019
1072743,4,3,Wichita St.,East Carolina,2019-03-05,2019
1068442,4,4,Eastern Michigan,Ball St.,2019-03-05,2019
1071963,4,4,South Carolina,Texas A&M,2019-03-05,2019
1069764,0,0,LSU,Florida,2019-03-06,2019
1085278,0,1,Oregon,Washington St.,2019-03-06,2019
1073452,0,2,Washington,Oregon St.,2019-03-06,2019
1069104,0,4,Clemson,Notre Dame,2019-03-06,2019
1069850,1,1,Fordham,George Washington,2019-03-06,2019
1072857,1,1,Houston Baptist,Incarnate Word,2019-03-06,2019
1070730,1,1,Long Beach St.,UC Riverside,2019-03-06,2019
