ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
339103,0,1,Stephen F. Austin,Northwestern St.,2015-03-05,2015
339054,0,1,Utah,Washington St.,2015-03-05,2015
339090,0,2,Wisconsin,Minnesota,2015-03-05,2015
339087,0,3,Louisiana Tech,Southern Miss,2015-03-05,2015
339095,0,3,North Carolina Central,North Carolina A&T,2015-03-05,2015
339098,0,3,Old Dominion,Marshall,2015-03-05,2015
339070,0,3,Temple,East Carolina,2015-03-05,2015
339064,0,3,UC Irvine,Cal St. Fullerton,2015-03-05,2015
339105,0,3,UTEP,North Texas,2015-03-05,2015
339055,0,4,Arizona,California,2015-03-05,2015
339101,0,4,Arkansas,South Carolina,2015-03-05,2015
339086,0,4,Georgia St.,Louisiana Monroe,2015-03-05,2015
339102,1,2,Southern Utah,Sacramento St.,2015-03-05,2015
339079,1,3,Incarnate Word,Abilene Christian,2015-03-05,2015
339069,2,0,Davidson,VCU,2015-03-05,2015
339066,2,1,Colgate,Navy,2015-03-05,2015
339081,2,1,Lafayette,Boston University,2015-03-05,2015
339096,2,1,North Florida,Lipscomb,2015-03-05,2015
339062,2,3,Bucknell,Holy Cross,2015-03-05,2015
339078,2,3,Eastern Washington,Idaho St.,2015-03-05,2015
339063,2,3,UC Davis,UC Riverside,2015-03-05,2015
339083,2,4,American,Lehigh,2015-03-05,2015
339059,2,4,Belmont,Eastern Illinois,2015-03-05,2015
339061,3,1,Bradley,Drake,2015-03-05,2015
339109,3,1,Weber St.,Idaho,2015-03-05,2015
339056,3,3,Appalachian St.,Texas St.,2015-03-05,2015
339060,3,3,Bethune Cookman,South Carolina St.,2015-03-05,2015
339071,3,3,Florida A&M,Savannah St.,2015-03-05,2015
339080,3,3,Jackson St.,Alabama A&M,2015-03-05,2015
339093,3,3,New Orleans,Southeastern Louisiana,2015-03-05,2015
339094,3,3,Nicholls St.,Central Arkansas,2015-03-05,2015
339106,3,3,Rice,UTSA,2015-03-05,2015
339100,3,3,Siena,Niagara,2015-03-05,2015
339058,3,3,South Alabama,Arkansas St.,2015-03-05,2015
339099,3,3,Southern,Prairie View A&M,2015-03-05,2015
339091,3,3,Southern Illinois,Missouri St.,2015-03-05,2015
339074,3,4,FIU,Middle Tennessee,2015-03-05,2015
339072,3,4,Florida Atlantic,UAB,2015-03-05,2015
339088,3,4,Marist,Quinnipiac,2015-03-05,2015
339057,4,0,Arizona St.,Stanford,2015-03-05,2015
339067,4,0,Memphis,Connecticut,2015-03-05,2015
339068,4,1,Delaware St.,Coppin St.,2015-03-05,2015
339097,4,1,Northern Arizona,Portland St.,2015-03-05,2015
339092,4,2,Morehead St.,Tennessee Martin,2015-03-05,2015
339065,4,2,Western Kentucky,Charlotte,2015-03-05,2015
339076,4,3,Alabama St.,Grambling St.,2015-03-05,2015
339084,4,3,Long Beach St.,Cal St. Northridge,2015-03-05,2015
339085,4,3,Louisiana Lafayette,Arkansas Little Rock,2015-03-05,2015
339089,4,3,Maryland Eastern Shore,Morgan St.,2015-03-05,2015
553593,4,3,Saint Peter's,Fairfield,2015-03-05,2015
339082,4,3,Sam Houston St.,Lamar,2015-03-05,2015
339104,4,3,Texas A&M Corpus Chris,Houston Baptist,2015-03-05,2015
339107,4,3,Texas Southern,Alcorn St.,2015-03-05,2015
339108,4,4,Colorado,Washington,2015-03-05,2015
339075,4,4,Georgia Southern,UT Arlington,2015-03-05,2015
339077,4,4,Norfolk St.,Hampton,2015-03-05,2015
339073,4,4,USC Upstate,Florida Gulf Coast,2015-03-05,2015
339113,0,3,Northern Iowa,Bradley,2015-03-06,2015
339138,0,3,Wichita St.,Southern Illinois,2015-03-06,2015
339110,0,4,Baylor,Texas Tech,2015-03-06,2015
339114,0,4,Buffalo,Bowling Green,2015-03-06,2015
339131,0,4,Murray St.,Morehead St.,2015-03-06,2015
553595,1,1,Ohio,Miami OH,2015-03-06,2015
339124,1,2,Gardner Webb,High Point,2015-03-06,2015
339112,2,2,Belmont,Eastern Kentucky,2015-03-06,2015
339139,2,2,Western Michigan,Central Michigan,2015-03-06,2015
339136,2,3,Princeton,Cornell,2015-03-06,2015
553594,2,4,Loyola Chicago,Indiana St.,2015-03-06,2015
339116,3,1,Furman,The Citadel,2015-03-06,2015
339115,3,1,Longwood,Charleston Southern,2015-03-06,2015
339126,3,2,Illinois Chicago,Oakland,2015-03-06,2015
339130,3,3,Arkansas Pine Bluff,Mississippi Valley St.,2015-03-06,2015
339119,3,3,College of Charleston,Drexel,2015-03-06,2015
339122,3,3,Elon,Towson,2015-03-06,2015
339111,3,3,Northern Illinois,Ball St.,2015-03-06,2015
339129,3,3,Santa Clara,Loyola Marymount,2015-03-06,2015
339132,3,3,UNC Greensboro,Samford,2015-03-06,2015
339135,3,4,Penn,Columbia,2015-03-06,2015
339117,4,1,Cleveland St.,Detroit,2015-03-06,2015
339121,4,2,Eastern Michigan,Toledo,2015-03-06,2015
339123,4,2,Illinois St.,Evansville,2015-03-06,2015
339118,4,3,Coastal Carolina,UNC Asheville,2015-03-06,2015
339120,4,3,Dartmouth,Brown,2015-03-06,2015
339134,4,3,San Francisco,Pacific,2015-03-06,2015
339128,4,4,Kent St.,Akron,2015-03-06,2015
339137,4,4,Winthrop,Radford,2015-03-06,2015
339125,4,4,Yale,Harvard,2015-03-06,2015
339151,0,0,Arizona,Stanford,2015-03-07,2015
339218,0,0,Butler,Providence,2015-03-07,2015
339142,0,0,Duke,North Carolina,2015-03-07,2015
339157,0,0,LSU,Arkansas,2015-03-07,2015
339143,0,0,Louisville,Virginia,2015-03-07,2015
339140,0,0,Oklahoma,Kansas,2015-03-07,2015
339148,0,0,Purdue,Illinois,2015-03-07,2015
339230,0,0,Temple,Connecticut,2015-03-07,2015
553596,0,0,Villanova,St. John's,2015-03-07,2015
339238,0,2,Colorado St.,Utah St.,2015-03-07,2015
339155,0,2,Iowa,Northwestern,2015-03-07,2015
553597,0,2,Miami FL,Virginia Tech,2015-03-07,2015
339141,0,2,Michigan St.,Indiana,2015-03-07,2015
553598,0,2,Northern Iowa,Loyola Chicago,2015-03-07,2015
339163,0,3,BYU,Santa Clara,2015-03-07,2015
339161,0,3,Boise St.,Fresno St.,2015-03-07,2015
339182,0,3,George Washington,UMass Lowell,2015-03-07,2015
339219,0,3,Richmond,Saint Louis,2015-03-07,2015
339221,0,3,San Diego St.,Nevada,2015-03-07,2015
339224,0,3,South Dakota St.,Western Illinois,2015-03-07,2015
339234,0,3,UTEP,Rice,2015-03-07,2015
339241,0,3,VCU,George Mason,2015-03-07,2015
339207,0,3,Wofford,UNC Greensboro,2015-03-07,2015
339182,0,4,George Washington,Massachusetts,2015-03-07,2015
339152,0,4,Georgetown,Seton Hall,2015-03-07,2015
339159,0,4,Georgia,Auburn,2015-03-07,2015
339183,0,4,Georgia St.,Georgia Southern,2015-03-07,2015
339184,0,4,Gonzaga,San Francisco,2015-03-07,2015
339153,0,4,Iowa St.,TCU,2015-03-07,2015
339146,0,4,Kentucky,Florida,2015-03-07,2015
339208,0,4,North Carolina St.,Syracuse,2015-03-07,2015
339212,0,4,Notre Dame,Clemson,2015-03-07,2015
339213,0,4,Old Dominion,Western Kentucky,2015-03-07,2015
339229,0,4,Stephen F. Austin,Sam Houston St.,2015-03-07,2015
339232,0,4,Texas,Kansas St.,2015-03-07,2015
339240,0,4,Valparaiso,Cleveland St.,2015-03-07,2015
339202,0,4,Vanderbilt,Mississippi,2015-03-07,2015
339145,0,4,Xavier,Creighton,2015-03-07,2015
339210,1,1,Northern Colorado,North Dakota,2015-03-07,2015
