ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
1244907,0,0,Drake,Bradley,2023-03-05,2023
1241162,0,0,Houston,Memphis,2023-03-05,2023
1242846,0,0,Northwestern,Rutgers,2023-03-05,2023
1241305,0,0,Purdue,Illinois,2023-03-05,2023
1244920,0,1,College of Charleston,Stony Brook,2023-03-05,2023
1241391,0,2,Indiana,Michigan,2023-03-05,2023
1242051,2,0,Penn St.,Maryland,2023-03-05,2023
1244937,2,1,Furman,Western Carolina,2023-03-05,2023
1244836,2,2,Colgate,Army,2023-03-05,2023
1244846,2,2,Kennesaw St.,Liberty,2023-03-05,2023
1244913,2,2,UNC Asheville,Campbell,2023-03-05,2023
1244949,2,4,Louisiana Lafayette,Texas St.,2023-03-05,2023
1244959,4,1,Montana St.,Northern Colorado,2023-03-05,2023
1244921,0,2,College of Charleston,Towson,2023-03-06,2023
1244940,0,2,Gonzaga,San Francisco,2023-03-06,2023
1244984,0,4,Saint Mary's,BYU,2023-03-06,2023
1244982,2,2,Furman,Chattanooga,2023-03-06,2023
1244950,2,2,Louisiana Lafayette,South Alabama,2023-03-06,2023
1244968,2,2,Oral Roberts,St. Thomas,2023-03-06,2023
1244860,4,2,Northern Kentucky,Youngstown St.,2023-03-06,2023
1245034,0,0,Gonzaga,Saint Mary's,2023-03-07,2023
1245021,0,4,College of Charleston,UNC Wilmington,2023-03-07,2023
1245017,2,1,Texas A&M Corpus Chris,McNeese St.,2023-03-07,2023
1244905,2,1,Vermont,Binghamton,2023-03-07,2023
1245035,2,2,Oral Roberts,North Dakota St.,2023-03-07,2023
1244941,2,3,Grand Canyon,UT Arlington,2023-03-07,2023
1245030,4,2,Montana St.,Weber St.,2023-03-07,2023
1245020,4,4,Northern Kentucky,Cleveland St.,2023-03-07,2023
1244999,0,0,West Virginia,Texas Tech,2023-03-08,2023
1245028,0,1,Iona,Mount St. Mary's,2023-03-08,2023
1245050,0,2,North Carolina St.,Virginia Tech,2023-03-08,2023
1245036,0,2,Pittsburgh,Georgia Tech,2023-03-08,2023
1244900,0,3,Arizona St.,Oregon St.,2023-03-08,2023
1244919,2,1,Colgate,Lafayette,2023-03-08,2023
1245055,2,4,Texas A&M Corpus Chris,Northwestern St.,2023-03-08,2023
1244899,3,3,Texas Southern,Alcorn St.,2023-03-08,2023
1245049,4,1,Montana St.,Northern Arizona,2023-03-08,2023
1244875,4,3,Howard,South Carolina St.,2023-03-08,2023
1245070,0,0,Arizona St.,USC,2023-03-09,2023
1245010,0,0,Arkansas,Auburn,2023-03-09,2023
1244924,0,0,Connecticut,Providence,2023-03-09,2023
1245085,0,0,Duke,Pittsburgh,2023-03-09,2023
1245105,0,0,Kansas,West Virginia,2023-03-09,2023
1244947,0,0,TCU,Kansas St.,2023-03-09,2023
1245125,0,0,Texas,Oklahoma St.,2023-03-09,2023
1245120,0,0,Virginia,North Carolina,2023-03-09,2023
1244876,0,1,Kent St.,Northern Illinois,2023-03-09,2023
1245112,0,1,Maryland,Minnesota,2023-03-09,2023
