ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
792372,0,0,Maryland,Michigan St.,2017-03-05,2017
1041833,0,0,Purdue,Northwestern,2017-03-05,2017
1041969,0,0,Wichita St.,Illinois St.,2017-03-05,2017
792609,0,0,Wisconsin,Minnesota,2017-03-05,2017
1041931,0,1,Saint Mary's,Portland,2017-03-05,2017
1041917,0,1,Winthrop,Campbell,2017-03-05,2017
1041957,0,2,East Tennessee St.,Samford,2017-03-05,2017
1041904,0,3,Bucknell,Navy,2017-03-05,2017
789995,0,4,Cincinnati,Connecticut,2017-03-05,2017
1041951,0,4,College of Charleston,Towson,2017-03-05,2017
790630,0,4,Houston,East Carolina,2017-03-05,2017
1041970,2,0,Iona,Saint Peter's,2017-03-05,2017
1041910,2,1,Florida Gulf Coast,North Florida,2017-03-05,2017
1041855,2,2,Nebraska Omaha,Fort Wayne,2017-03-05,2017
1041882,2,2,Northern Kentucky,Wright St.,2017-03-05,2017
1041849,2,2,South Dakota St.,Denver,2017-03-05,2017
1041933,2,2,UNC Greensboro,Wofford,2017-03-05,2017
1041934,2,2,UNC Wilmington,William & Mary,2017-03-05,2017
793711,2,3,Temple,South Florida,2017-03-05,2017
791777,2,4,Iowa,Penn St.,2017-03-05,2017
1041902,2,4,Lehigh,Boston University,2017-03-05,2017
792555,2,4,Michigan,Nebraska,2017-03-05,2017
793892,3,4,Tulane,Tulsa,2017-03-05,2017
1041978,4,0,Siena,Monmouth,2017-03-05,2017
1041879,4,4,Illinois Chicago,Green Bay,2017-03-05,2017
1041943,0,0,Saint Mary's,BYU,2017-03-06,2017
1042002,0,2,East Tennessee St.,UNC Greensboro,2017-03-06,2017
1041964,0,2,Gonzaga,Santa Clara,2017-03-06,2017
1041898,0,2,Vermont,New Hampshire,2017-03-06,2017
1041913,1,3,Maryland Eastern Shore,North Carolina A&T,2017-03-06,2017
1042005,1,4,Milwaukee,Illinois Chicago,2017-03-06,2017
1041999,2,0,UNC Wilmington,College of Charleston,2017-03-06,2017
1042003,2,1,Nebraska Omaha,IUPUI,2017-03-06,2017
1042010,2,1,Northern Kentucky,Youngstown St.,2017-03-06,2017
1041916,2,1,Toledo,Bowling Green,2017-03-06,2017
1042012,2,2,South Dakota St.,South Dakota,2017-03-06,2017
1041927,2,3,Western Michigan,Miami OH,2017-03-06,2017
1041894,2,4,Albany,Stony Brook,2017-03-06,2017
1042007,2,4,Iona,Siena,2017-03-06,2017
1041907,3,3,Howard,Coppin St.,2017-03-06,2017
1041918,4,1,Kent St.,Central Michigan,2017-03-06,2017
1041922,4,3,Eastern Michigan,Northern Illinois,2017-03-06,2017
1042018,0,0,Gonzaga,Saint Mary's,2017-03-07,2017
1041980,1,1,Portland St.,Northern Arizona,2017-03-07,2017
1041967,1,1,Sacramento St.,Idaho St.,2017-03-07,2017
