ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
327650,0,0,Ohio St.,Indiana,2013-03-05,2013
327668,0,2,UNLV,Boise St.,2013-03-05,2013
552832,0,3,Akron,Miami OH,2013-03-05,2013
327662,0,3,Kansas St.,TCU,2013-03-05,2013
327651,0,4,Duke,Virginia Tech,2013-03-05,2013
327653,0,4,Iowa,Illinois,2013-03-05,2013
327670,0,4,Marquette,Rutgers,2013-03-05,2013
327671,0,4,Memphis,UTEP,2013-03-05,2013
327666,0,4,Mississippi,Alabama,2013-03-05,2013
327667,0,4,Missouri,Arkansas,2013-03-05,2013
552833,0,4,Notre Dame,St. John's,2013-03-05,2013
327655,0,4,Ohio,Buffalo,2013-03-05,2013
327657,1,3,Central Michigan,Eastern Michigan,2013-03-05,2013
327664,1,4,Longwood,UNC Asheville,2013-03-05,2013
327658,2,4,Boston College,Clemson,2013-03-05,2013
327665,3,0,Marshall,Southern Miss,2013-03-05,2013
327656,3,1,Campbell,Presbyterian,2013-03-05,2013
327659,3,3,Liberty,Coastal Carolina,2013-03-05,2013
327669,3,3,Winthrop,Radford,2013-03-05,2013
327673,3,4,Ball St.,Western Michigan,2013-03-05,2013
327660,4,3,Green Bay,Milwaukee,2013-03-05,2013
327661,4,3,Illinois Chicago,Cleveland St.,2013-03-05,2013
327663,4,3,Kent St.,Bowling Green,2013-03-05,2013
327672,4,3,Toledo,Northern Illinois,2013-03-05,2013
327652,4,4,Providence,Seton Hall,2013-03-05,2013
552834,4,4,Youngstown St.,Loyola Chicago,2013-03-05,2013
327681,0,0,Iowa St.,Oklahoma St.,2013-03-06,2013
327675,0,0,North Carolina,Maryland,2013-03-06,2013
327682,0,0,Stanford,California,2013-03-06,2013
327708,0,2,San Diego St.,Air Force,2013-03-06,2013
327687,0,3,Bucknell,Navy,2013-03-06,2013
327705,0,3,New Mexico,Nevada,2013-03-06,2013
552838,0,3,Saint Joseph's,Rhode Island,2013-03-06,2013
327711,0,3,Syracuse,DePaul,2013-03-06,2013
327695,0,3,Temple,Fordham,2013-03-06,2013
327716,0,4,Colorado St.,Wyoming,2013-03-06,2013
327693,0,4,Florida,Vanderbilt,2013-03-06,2013
