ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
1063741,0,0,UNC Greensboro,East Tennessee St.,2018-03-05,2018
1063740,0,2,South Dakota,Denver,2018-03-05,2018
1063686,0,4,Gonzaga,San Francisco,2018-03-05,2018
1063643,1,1,Akron,Western Michigan,2018-03-05,2018
1063738,1,2,Cleveland St.,Oakland,2018-03-05,2018
1063615,1,3,North Carolina A&T,Delaware St.,2018-03-05,2018
1063658,2,0,BYU,Saint Mary's,2018-03-05,2018
1063644,2,1,Central Michigan,Bowling Green,2018-03-05,2018
1063743,2,1,Iona,Fairfield,2018-03-05,2018
1063746,2,1,Northeastern,UNC Wilmington,2018-03-05,2018
1063739,2,2,College of Charleston,William & Mary,2018-03-05,2018
1063648,2,2,Miami OH,Ohio,2018-03-05,2018
1063622,3,3,Norfolk St.,Maryland Eastern Shore,2018-03-05,2018
1063645,4,1,Kent St.,Northern Illinois,2018-03-05,2018
1063744,4,2,Wright St.,Milwaukee,2018-03-05,2018
1063704,0,1,Notre Dame,Pittsburgh,2018-03-06,2018
1063718,0,2,Gonzaga,BYU,2018-03-06,2018
1063714,0,2,Syracuse,Wake Forest,2018-03-06,2018
1063617,1,1,Florida A&M,Howard,2018-03-06,2018
1063701,1,1,North Dakota,Montana St.,2018-03-06,2018
1063709,1,1,Portland St.,Sacramento St.,2018-03-06,2018
1063690,1,2,Southern Utah,Idaho St.,2018-03-06,2018
1063652,1,3,Texas Southern,Alabama St.,2018-03-06,2018
1063730,2,0,South Dakota St.,South Dakota,2018-03-06,2018
1063723,2,2,College of Charleston,Northeastern,2018-03-06,2018
1063688,2,2,UMBC,Hartford,2018-03-06,2018
1063703,2,3,Northern Colorado,Northern Arizona,2018-03-06,2018
1063713,2,3,Vermont,Stony Brook,2018-03-06,2018
1063660,2,4,Boston College,Georgia Tech,2018-03-06,2018
1063646,2,4,LIU Brooklyn,Wagner,2018-03-06,2018
1063625,3,1,Morgan St.,South Carolina St.,2018-03-06,2018
1063657,3,3,Arkansas Pine Bluff,Mississippi Valley St.,2018-03-06,2018
1063653,3,3,Prairie View A&M,Alcorn St.,2018-03-06,2018
1063694,3,3,Southern,Jackson St.,2018-03-06,2018
1063722,4,1,Wright St.,Cleveland St.,2018-03-06,2018
1063614,4,3,North Carolina Central,Coppin St.,2018-03-06,2018
1063681,0,0,Louisville,Florida St.,2018-03-07,2018
1063770,0,0,North Carolina,Syracuse,2018-03-07,2018
1063720,0,2,Bucknell,Colgate,2018-03-07,2018
1063765,0,2,Notre Dame,Virginia Tech,2018-03-07,2018
1063705,0,2,Oklahoma St.,Oklahoma,2018-03-07,2018
1063693,0,2,Texas,Iowa St.,2018-03-07,2018
1063682,1,1,George Washington,Fordham,2018-03-07,2018
1063656,1,1,Louisiana Monroe,Arkansas St.,2018-03-07,2018
1063680,1,1,Southern Miss,FIU,2018-03-07,2018
1063697,1,1,UMass Lowell,La Salle,2018-03-07,2018
1063654,1,3,Appalachian St.,Little Rock,2018-03-07,2018
1063666,1,4,Central Arkansas,Lamar,2018-03-07,2018
1063697,2,1,Massachusetts,La Salle,2018-03-07,2018
1063650,2,1,UNLV,Air Force,2018-03-07,2018
1063715,2,1,UTSA,UTEP,2018-03-07,2018
1063670,2,1,Utah St.,Colorado St.,2018-03-07,2018
1063729,2,1,Wyoming,San Jose St.,2018-03-07,2018
1063655,2,2,Colorado,Arizona St.,2018-03-07,2018
1063706,2,2,Oregon,Washington St.,2018-03-07,2018
1063665,2,3,Stanford,California,2018-03-07,2018
1063698,2,4,Louisiana Tech,North Texas,2018-03-07,2018
1063674,2,4,Marquette,DePaul,2018-03-07,2018
1063712,2,4,Troy,South Alabama,2018-03-07,2018
1063702,3,3,New Orleans,Texas A&M Corpus Chris,2018-03-07,2018
1063766,4,1,Hampton,Florida A&M,2018-03-07,2018
1063685,4,2,Georgia,Vanderbilt,2018-03-07,2018
1063684,4,2,St. John's,Georgetown,2018-03-07,2018
1063700,4,4,South Carolina,Mississippi,2018-03-07,2018
1063668,4,4,Texas St.,Coastal Carolina,2018-03-07,2018
1063789,0,0,Duke,Notre Dame,2018-03-08,2018
1063794,0,0,Kansas,Oklahoma St.,2018-03-08,2018
1063803,0,0,North Carolina,Miami FL,2018-03-08,2018
1063777,0,0,Virginia,Louisville,2018-03-08,2018
1063659,0,0,West Virginia,Baylor,2018-03-08,2018
1063764,0,1,Montana,North Dakota,2018-03-08,2018
1063667,0,1,New Mexico St.,Chicago St.,2018-03-08,2018
1063779,0,2,Arizona,Colorado,2018-03-08,2018
1063721,0,2,Buffalo,Central Michigan,2018-03-08,2018
1063780,0,2,Clemson,Boston College,2018-03-08,2018
1063695,0,2,Kansas St.,TCU,2018-03-08,2018
1063696,0,2,Mississippi St.,LSU,2018-03-08,2018
1063781,0,2,Nevada,UNLV,2018-03-08,2018
1063795,0,2,Old Dominion,Louisiana Tech,2018-03-08,2018
1063672,0,2,Providence,Creighton,2018-03-08,2018
1063683,0,2,San Diego St.,Fresno St.,2018-03-08,2018
1063802,0,2,Villanova,Marquette,2018-03-08,2018
1063805,0,2,Western Kentucky,UAB,2018-03-08,2018
1063787,0,4,Arkansas,South Carolina,2018-03-08,2018
1063800,0,4,Xavier,St. John's,2018-03-08,2018
1063797,1,0,Southern Miss,Middle Tennessee,2018-03-08,2018
1063783,1,1,George Mason,UMass Lowell,2018-03-08,2018
1063783,1,2,George Mason,Massachusetts,2018-03-08,2018
1063768,1,2,Southern Utah,Idaho,2018-03-08,2018
1063728,1,3,North Carolina A&T,Norfolk St.,2018-03-08,2018
1063676,1,4,Richmond,Duquesne,2018-03-08,2018
1063772,2,1,Eastern Washington,Portland St.,2018-03-08,2018
1063662,2,1,UC Santa Barbara,Cal Poly,2018-03-08,2018
1063796,2,2,Marshall,UTSA,2018-03-08,2018
1063798,2,2,New Mexico,Wyoming,2018-03-08,2018
1063767,2,2,Northern Colorado,Weber St.,2018-03-08,2018
1063804,2,2,Oregon,Utah,2018-03-08,2018
1063731,2,2,Temple,Tulane,2018-03-08,2018
1063727,2,2,Toledo,Miami OH,2018-03-08,2018
1063786,2,2,UCLA,Stanford,2018-03-08,2018
1063782,2,2,Utah St.,Boise St.,2018-03-08,2018
1063673,2,2,VCU,Dayton,2018-03-08,2018
